text,positive
"Прекрасный продукт, рекомендую всем",1
Мне очень понравилось приложение,1
Очень неудобное приложение,0
Поддержка не отвечает уже долгое время,0
"Худшее приложение, удаляю",0
"Плохое обновление, стало только хуже",0
"Сервис работает плохо, исправьте проблему",0
"Сервис радует, всё быстро и удобно",1
Качество просто замечательное,1
Поддержка помогла решить проблему,1
"Не могу войти в приложение, ошибка",0
Качество просто замечательное,1
Очень хороший опыт использования,1
Невозможно нормально пользоваться сервисом,0
"Отличный сервис, всё работает прекрасно",1
Поддержка помогла решить проблему,1
Поддержка помогла решить проблему,1
"Отличное обновление, стало намного лучше",1
Очень хороший опыт использования,1
"Разочарован покупкой, деньги потрачены зря",0
"Не могу войти в приложение, ошибка",0
Мне очень понравилось приложение,1
"Отличное обновление, стало намного лучше",1
Поддержка не отвечает уже долгое время,0
Поддержка не отвечает уже долгое время,0
"Спасибо разработчикам, стало намного удобнее",1
Качество просто замечательное,1
"Спасибо разработчикам, стало намного удобнее",1
Очень доволен покупкой и сервисом,1
"Спасибо разработчикам, стало намного удобнее",1
Поддержка не отвечает уже долгое время,0
Очень доволен покупкой и сервисом,1
Очень доволен покупкой и сервисом,1
Качество просто замечательное,1
"Плохое обновление, стало только хуже",0
Очень доволен покупкой и сервисом,1
"Разочарован покупкой, деньги потрачены зря",0
"Плохое обновление, стало только хуже",0
Очень доволен покупкой и сервисом,1
"Плохое обновление, стало только хуже",0
"Спасибо разработчикам, стало намного удобнее",1
"Очень плохое качество, я разочарован",0
"Худшее приложение, удаляю",0
"Плохое обновление, стало только хуже",0
"Ужасный сервис, ничего не работает",0
Невозможно нормально пользоваться сервисом,0
Поддержка помогла решить проблему,1
Невозможно нормально пользоваться сервисом,0
Поддержка не отвечает уже долгое время,0
"Сервис радует, всё быстро и удобно",1
"Отличный сервис, всё работает прекрасно",1
Поддержка не отвечает уже долгое время,0
"Плохое обновление, стало только хуже",0
"Отличное обновление, стало намного лучше",1
"Сервис работает плохо, исправьте проблему",0
Очень хороший опыт использования,1
"Прекрасный продукт, рекомендую всем",1
"Прекрасный продукт, рекомендую всем",1
Очень доволен покупкой и сервисом,1
"Плохое обновление, стало только хуже",0
"Не могу войти в приложение, ошибка",0
"Отличный сервис, всё работает прекрасно",1
Очень доволен покупкой и сервисом,1
"Плохое обновление, стало только хуже",0
"Отличный сервис, всё работает прекрасно",1
Качество просто замечательное,1
"Не могу войти в приложение, ошибка",0
"Очень плохое качество, я разочарован",0
Качество просто замечательное,1
Поддержка не отвечает уже долгое время,0
"Плохое обновление, стало только хуже",0
Невозможно нормально пользоваться сервисом,0
"Прекрасный продукт, рекомендую всем",1
"Отличное обновление, стало намного лучше",1
"Отличное обновление, стало намного лучше",1
"Худшее приложение, удаляю",0
"Очень плохое качество, я разочарован",0
Очень доволен покупкой и сервисом,1
"Не могу войти в приложение, ошибка",0
Очень хороший опыт использования,1
Очень неудобное приложение,0
"Отличный сервис, всё работает прекрасно",1
"Прекрасный продукт, рекомендую всем",1
"Отличное обновление, стало намного лучше",1
"Отличный сервис, всё работает прекрасно",1
Поддержка не отвечает уже долгое время,0
Качество просто замечательное,1
"Ужасный сервис, ничего не работает",0
Очень неудобное приложение,0
"Не могу войти в приложение, ошибка",0
Очень неудобное приложение,0
"Не могу войти в приложение, ошибка",0
"Сервис радует, всё быстро и удобно",1
"Сервис радует, всё быстро и удобно",1
Очень неудобное приложение,0
Качество просто замечательное,1
"Разочарован покупкой, деньги потрачены зря",0
Очень хороший опыт использования,1
"Худшее приложение, удаляю",0
Очень доволен покупкой и сервисом,1
"Прекрасный продукт, рекомендую всем",1
"Сервис радует, всё быстро и удобно",1
Очень доволен покупкой и сервисом,1
"Очень плохое качество, я разочарован",0
"Худшее приложение, удаляю",0
"Прекрасный продукт, рекомендую всем",1
"Плохое обновление, стало только хуже",0
Очень неудобное приложение,0
"Спасибо разработчикам, стало намного удобнее",1
Качество просто замечательное,1
"Не могу войти в приложение, ошибка",0
"Сервис работает плохо, исправьте проблему",0
"Очень плохое качество, я разочарован",0
Очень доволен покупкой и сервисом,1
"Сервис радует, всё быстро и удобно",1
Очень хороший опыт использования,1
Очень хороший опыт использования,1
"Прекрасный продукт, рекомендую всем",1
"Плохое обновление, стало только хуже",0
"Сервис радует, всё быстро и удобно",1
Поддержка не отвечает уже долгое время,0
"Ужасный сервис, ничего не работает",0
"Отличное обновление, стало намного лучше",1
"Сервис работает плохо, исправьте проблему",0
Качество просто замечательное,1
"Отличный сервис, всё работает прекрасно",1
Очень хороший опыт использования,1
"Спасибо разработчикам, стало намного удобнее",1
"Ужасный сервис, ничего не работает",0
Поддержка не отвечает уже долгое время,0
Мне очень понравилось приложение,1
Очень доволен покупкой и сервисом,1
Очень доволен покупкой и сервисом,1
"Сервис радует, всё быстро и удобно",1
"Отличный сервис, всё работает прекрасно",1
"Ужасный сервис, ничего не работает",0
"Разочарован покупкой, деньги потрачены зря",0
Качество просто замечательное,1
Поддержка помогла решить проблему,1
Очень хороший опыт использования,1
Очень хороший опыт использования,1
Невозможно нормально пользоваться сервисом,0
Очень хороший опыт использования,1
Очень доволен покупкой и сервисом,1
Качество просто замечательное,1
Очень неудобное приложение,0
"Не могу войти в приложение, ошибка",0
Мне очень понравилось приложение,1
"Не могу войти в приложение, ошибка",0
"Спасибо разработчикам, стало намного удобнее",1
Очень неудобное приложение,0
Поддержка помогла решить проблему,1
Невозможно нормально пользоваться сервисом,0
Поддержка помогла решить проблему,1
"Не могу войти в приложение, ошибка",0
Очень доволен покупкой и сервисом,1
Очень неудобное приложение,0
Качество просто замечательное,1
"Отличный сервис, всё работает прекрасно",1
"Спасибо разработчикам, стало намного удобнее",1
"Не могу войти в приложение, ошибка",0
"Худшее приложение, удаляю",0
"Прекрасный продукт, рекомендую всем",1
Невозможно нормально пользоваться сервисом,0
"Разочарован покупкой, деньги потрачены зря",0
"Очень плохое качество, я разочарован",0
"Отличное обновление, стало намного лучше",1
"Худшее приложение, удаляю",0
"Разочарован покупкой, деньги потрачены зря",0
Качество просто замечательное,1
"Сервис радует, всё быстро и удобно",1
Очень хороший опыт использования,1
"Отличное обновление, стало намного лучше",1
Мне очень понравилось приложение,1
"Сервис работает плохо, исправьте проблему",0
Мне очень понравилось приложение,1
Поддержка не отвечает уже долгое время,0
Очень неудобное приложение,0
Поддержка помогла решить проблему,1
Невозможно нормально пользоваться сервисом,0
"Очень плохое качество, я разочарован",0
Невозможно нормально пользоваться сервисом,0
"Отличный сервис, всё работает прекрасно",1
Очень хороший опыт использования,1
Очень хороший опыт использования,1
"Сервис работает плохо, исправьте проблему",0
"Разочарован покупкой, деньги потрачены зря",0
"Разочарован покупкой, деньги потрачены зря",0
Очень хороший опыт использования,1
"Сервис радует, всё быстро и удобно",1
Поддержка не отвечает уже долгое время,0
"Разочарован покупкой, деньги потрачены зря",0
"Плохое обновление, стало только хуже",0
Очень хороший опыт использования,1
Поддержка не отвечает уже долгое время,0
"Прекрасный продукт, рекомендую всем",1
"Сервис радует, всё быстро и удобно",1
"Прекрасный продукт, рекомендую всем",1
Качество просто замечательное,1
Невозможно нормально пользоваться сервисом,0
Невозможно нормально пользоваться сервисом,0
"Отличный сервис, всё работает прекрасно",1
Качество просто замечательное,1
"Плохое обновление, стало только хуже",0
"Ужасный сервис, ничего не работает",0
"Плохое обновление, стало только хуже",0
"Плохое обновление, стало только хуже",0
Поддержка не отвечает уже долгое время,0
Очень доволен покупкой и сервисом,1
"Ужасный сервис, ничего не работает",0
Мне очень понравилось приложение,1
"Разочарован покупкой, деньги потрачены зря",0
"Отличное обновление, стало намного лучше",1
"Отличное обновление, стало намного лучше",1
"Отличный сервис, всё работает прекрасно",1
"Очень плохое качество, я разочарован",0
"Отличный сервис, всё работает прекрасно",1
"Не могу войти в приложение, ошибка",0
Невозможно нормально пользоваться сервисом,0
"Прекрасный продукт, рекомендую всем",1
"Не могу войти в приложение, ошибка",0
"Отличный сервис, всё работает прекрасно",1
Очень хороший опыт использования,1
Поддержка помогла решить проблему,1
"Не могу войти в приложение, ошибка",0
"Разочарован покупкой, деньги потрачены зря",0
Качество просто замечательное,1
"Очень плохое качество, я разочарован",0
"Разочарован покупкой, деньги потрачены зря",0
"Плохое обновление, стало только хуже",0
Очень доволен покупкой и сервисом,1
"Очень плохое качество, я разочарован",0
"Плохое обновление, стало только хуже",0
"Ужасный сервис, ничего не работает",0
Очень доволен покупкой и сервисом,1
Очень неудобное приложение,0
Качество просто замечательное,1
"Разочарован покупкой, деньги потрачены зря",0
Мне очень понравилось приложение,1
Качество просто замечательное,1
Очень неудобное приложение,0
"Худшее приложение, удаляю",0
"Сервис работает плохо, исправьте проблему",0
Невозможно нормально пользоваться сервисом,0
"Сервис работает плохо, исправьте проблему",0
Качество просто замечательное,1
Мне очень понравилось приложение,1
Качество просто замечательное,1
"Разочарован покупкой, деньги потрачены зря",0
"Не могу войти в приложение, ошибка",0
"Ужасный сервис, ничего не работает",0
"Отличное обновление, стало намного лучше",1
"Не могу войти в приложение, ошибка",0
"Ужасный сервис, ничего не работает",0
"Очень плохое качество, я разочарован",0
"Отличное обновление, стало намного лучше",1
"Худшее приложение, удаляю",0
"Ужасный сервис, ничего не работает",0
"Отличное обновление, стало намного лучше",1
"Сервис радует, всё быстро и удобно",1
"Худшее приложение, удаляю",0
"Худшее приложение, удаляю",0
"Ужасный сервис, ничего не работает",0
Поддержка помогла решить проблему,1
Качество просто замечательное,1
Очень неудобное приложение,0
Невозможно нормально пользоваться сервисом,0
"Очень плохое качество, я разочарован",0
Поддержка не отвечает уже долгое время,0
Мне очень понравилось приложение,1
Очень доволен покупкой и сервисом,1
"Ужасный сервис, ничего не работает",0
Качество просто замечательное,1
"Спасибо разработчикам, стало намного удобнее",1
Мне очень понравилось приложение,1
"Отличное обновление, стало намного лучше",1
"Ужасный сервис, ничего не работает",0
"Не могу войти в приложение, ошибка",0
Качество просто замечательное,1
"Отличное обновление, стало намного лучше",1
"Разочарован покупкой, деньги потрачены зря",0
"Сервис работает плохо, исправьте проблему",0
"Не могу войти в приложение, ошибка",0
"Отличный сервис, всё работает прекрасно",1
"Очень плохое качество, я разочарован",0
Поддержка не отвечает уже долгое время,0
"Ужасный сервис, ничего не работает",0
Качество просто замечательное,1
"Худшее приложение, удаляю",0
"Прекрасный продукт, рекомендую всем",1
Очень неудобное приложение,0
"Сервис радует, всё быстро и удобно",1
Качество просто замечательное,1
"Разочарован покупкой, деньги потрачены зря",0
"Прекрасный продукт, рекомендую всем",1
"Сервис радует, всё быстро и удобно",1
"Худшее приложение, удаляю",0
"Худшее приложение, удаляю",0
"Худшее приложение, удаляю",0
"Спасибо разработчикам, стало намного удобнее",1
"Сервис работает плохо, исправьте проблему",0
"Прекрасный продукт, рекомендую всем",1
"Худшее приложение, удаляю",0
"Прекрасный продукт, рекомендую всем",1
Качество просто замечательное,1
Мне очень понравилось приложение,1
"Худшее приложение, удаляю",0
Поддержка не отвечает уже долгое время,0
"Отличное обновление, стало намного лучше",1
"Не могу войти в приложение, ошибка",0
Очень хороший опыт использования,1
Невозможно нормально пользоваться сервисом,0
Очень доволен покупкой и сервисом,1
"Сервис работает плохо, исправьте проблему",0
"Отличный сервис, всё работает прекрасно",1
"Сервис радует, всё быстро и удобно",1
Поддержка не отвечает уже долгое время,0
Поддержка не отвечает уже долгое время,0
"Разочарован покупкой, деньги потрачены зря",0
"Разочарован покупкой, деньги потрачены зря",0
"Сервис радует, всё быстро и удобно",1
"Ужасный сервис, ничего не работает",0
Поддержка не отвечает уже долгое время,0
"Сервис радует, всё быстро и удобно",1
"Ужасный сервис, ничего не работает",0
Мне очень понравилось приложение,1
"Отличный сервис, всё работает прекрасно",1
Очень неудобное приложение,0
"Отличный сервис, всё работает прекрасно",1
Поддержка не отвечает уже долгое время,0
"Разочарован покупкой, деньги потрачены зря",0
Невозможно нормально пользоваться сервисом,0
"Очень плохое качество, я разочарован",0
Очень хороший опыт использования,1
Поддержка помогла решить проблему,1
"Отличный сервис, всё работает прекрасно",1
Невозможно нормально пользоваться сервисом,0
Качество просто замечательное,1
"Сервис работает плохо, исправьте проблему",0
"Разочарован покупкой, деньги потрачены зря",0
"Спасибо разработчикам, стало намного удобнее",1
"Сервис радует, всё быстро и удобно",1
"Плохое обновление, стало только хуже",0
"Сервис работает плохо, исправьте проблему",0
"Не могу войти в приложение, ошибка",0
"Очень плохое качество, я разочарован",0
Мне очень понравилось приложение,1
"Разочарован покупкой, деньги потрачены зря",0
"Худшее приложение, удаляю",0
"Сервис радует, всё быстро и удобно",1
"Ужасный сервис, ничего не работает",0
"Сервис радует, всё быстро и удобно",1
Качество просто замечательное,1
"Отличное обновление, стало намного лучше",1
Мне очень понравилось приложение,1
"Худшее приложение, удаляю",0
"Очень плохое качество, я разочарован",0
Очень неудобное приложение,0
"Отличное обновление, стало намного лучше",1
Очень неудобное приложение,0
Поддержка помогла решить проблему,1
Поддержка помогла решить проблему,1
Невозможно нормально пользоваться сервисом,0
"Не могу войти в приложение, ошибка",0
Поддержка не отвечает уже долгое время,0
Поддержка помогла решить проблему,1
Очень доволен покупкой и сервисом,1
Мне очень понравилось приложение,1
Очень доволен покупкой и сервисом,1
Мне очень понравилось приложение,1
Поддержка не отвечает уже долгое время,0
Поддержка помогла решить проблему,1
"Прекрасный продукт, рекомендую всем",1
Невозможно нормально пользоваться сервисом,0
"Очень плохое качество, я разочарован",0
Качество просто замечательное,1
"Не могу войти в приложение, ошибка",0
"Спасибо разработчикам, стало намного удобнее",1
Очень доволен покупкой и сервисом,1
"Отличный сервис, всё работает прекрасно",1
Очень доволен покупкой и сервисом,1
"Спасибо разработчикам, стало намного удобнее",1
"Плохое обновление, стало только хуже",0
Очень доволен покупкой и сервисом,1
Очень хороший опыт использования,1
"Отличный сервис, всё работает прекрасно",1
"Спасибо разработчикам, стало намного удобнее",1
"Разочарован покупкой, деньги потрачены зря",0
"Разочарован покупкой, деньги потрачены зря",0
"Худшее приложение, удаляю",0
Очень неудобное приложение,0
"Разочарован покупкой, деньги потрачены зря",0
"Плохое обновление, стало только хуже",0
"Ужасный сервис, ничего не работает",0
"Спасибо разработчикам, стало намного удобнее",1
"Худшее приложение, удаляю",0
Качество просто замечательное,1
Поддержка помогла решить проблему,1
"Худшее приложение, удаляю",0
"Спасибо разработчикам, стало намного удобнее",1
"Ужасный сервис, ничего не работает",0
Поддержка помогла решить проблему,1
Мне очень понравилось приложение,1
"Отличный сервис, всё работает прекрасно",1
"Сервис работает плохо, исправьте проблему",0
"Худшее приложение, удаляю",0
"Не могу войти в приложение, ошибка",0
"Разочарован покупкой, деньги потрачены зря",0
"Не могу войти в приложение, ошибка",0
"Прекрасный продукт, рекомендую всем",1
"Плохое обновление, стало только хуже",0
"Прекрасный продукт, рекомендую всем",1
Качество просто замечательное,1
"Сервис радует, всё быстро и удобно",1
"Не могу войти в приложение, ошибка",0
Мне очень понравилось приложение,1
"Не могу войти в приложение, ошибка",0
"Ужасный сервис, ничего не работает",0
"Ужасный сервис, ничего не работает",0
"Отличный сервис, всё работает прекрасно",1
"Сервис радует, всё быстро и удобно",1
"Спасибо разработчикам, стало намного удобнее",1
"Плохое обновление, стало только хуже",0
Невозможно нормально пользоваться сервисом,0
"Плохое обновление, стало только хуже",0
"Спасибо разработчикам, стало намного удобнее",1
"Худшее приложение, удаляю",0
Качество просто замечательное,1
"Отличное обновление, стало намного лучше",1
"Ужасный сервис, ничего не работает",0
Невозможно нормально пользоваться сервисом,0
Невозможно нормально пользоваться сервисом,0
"Ужасный сервис, ничего не работает",0
Поддержка не отвечает уже долгое время,0
Очень доволен покупкой и сервисом,1
"Отличное обновление, стало намного лучше",1
"Ужасный сервис, ничего не работает",0
Невозможно нормально пользоваться сервисом,0
Мне очень понравилось приложение,1
"Очень плохое качество, я разочарован",0
"Ужасный сервис, ничего не работает",0
"Отличный сервис, всё работает прекрасно",1
Невозможно нормально пользоваться сервисом,0
"Сервис работает плохо, исправьте проблему",0
Качество просто замечательное,1
"Сервис радует, всё быстро и удобно",1
"Прекрасный продукт, рекомендую всем",1
"Отличное обновление, стало намного лучше",1
"Прекрасный продукт, рекомендую всем",1
"Плохое обновление, стало только хуже",0
Очень хороший опыт использования,1
"Не могу войти в приложение, ошибка",0
Невозможно нормально пользоваться сервисом,0
"Плохое обновление, стало только хуже",0
Очень доволен покупкой и сервисом,1
"Отличный сервис, всё работает прекрасно",1
Очень хороший опыт использования,1
Качество просто замечательное,1
Очень доволен покупкой и сервисом,1
Очень неудобное приложение,0
"Отличное обновление, стало намного лучше",1
"Ужасный сервис, ничего не работает",0
"Сервис работает плохо, исправьте проблему",0
"Худшее приложение, удаляю",0
"Очень плохое качество, я разочарован",0
"Отличный сервис, всё работает прекрасно",1
"Отличный сервис, всё работает прекрасно",1
Очень доволен покупкой и сервисом,1
Очень неудобное приложение,0
Очень доволен покупкой и сервисом,1
"Плохое обновление, стало только хуже",0
Очень хороший опыт использования,1
"Худшее приложение, удаляю",0
"Отличное обновление, стало намного лучше",1
Очень хороший опыт использования,1
"Прекрасный продукт, рекомендую всем",1
"Отличное обновление, стало намного лучше",1
"Прекрасный продукт, рекомендую всем",1
"Разочарован покупкой, деньги потрачены зря",0
"Разочарован покупкой, деньги потрачены зря",0
Очень хороший опыт использования,1
"Сервис радует, всё быстро и удобно",1
"Прекрасный продукт, рекомендую всем",1
"Спасибо разработчикам, стало намного удобнее",1
Мне очень понравилось приложение,1
"Отличный сервис, всё работает прекрасно",1
Очень доволен покупкой и сервисом,1
Невозможно нормально пользоваться сервисом,0
"Плохое обновление, стало только хуже",0
"Прекрасный продукт, рекомендую всем",1
"Сервис работает плохо, исправьте проблему",0
"Очень плохое качество, я разочарован",0
"Плохое обновление, стало только хуже",0
"Плохое обновление, стало только хуже",0
Очень хороший опыт использования,1
"Отличное обновление, стало намного лучше",1
Поддержка помогла решить проблему,1
"Прекрасный продукт, рекомендую всем",1
"Сервис радует, всё быстро и удобно",1
"Плохое обновление, стало только хуже",0
Мне очень понравилось приложение,1
Очень доволен покупкой и сервисом,1
"Разочарован покупкой, деньги потрачены зря",0
"Не могу войти в приложение, ошибка",0
Поддержка помогла решить проблему,1
"Худшее приложение, удаляю",0
"Отличный сервис, всё работает прекрасно",1
"Отличный сервис, всё работает прекрасно",1
Качество просто замечательное,1
Мне очень понравилось приложение,1
"Разочарован покупкой, деньги потрачены зря",0
"Ужасный сервис, ничего не работает",0
"Отличный сервис, всё работает прекрасно",1
"Спасибо разработчикам, стало намного удобнее",1
Поддержка помогла решить проблему,1
Очень неудобное приложение,0
"Сервис радует, всё быстро и удобно",1
"Не могу войти в приложение, ошибка",0
"Спасибо разработчикам, стало намного удобнее",1
"Очень плохое качество, я разочарован",0
Поддержка не отвечает уже долгое время,0
"Худшее приложение, удаляю",0
"Отличный сервис, всё работает прекрасно",1
"Худшее приложение, удаляю",0
Очень хороший опыт использования,1
"Сервис радует, всё быстро и удобно",1
Очень доволен покупкой и сервисом,1
"Прекрасный продукт, рекомендую всем",1
"Разочарован покупкой, деньги потрачены зря",0
"Прекрасный продукт, рекомендую всем",1
"Сервис работает плохо, исправьте проблему",0
"Разочарован покупкой, деньги потрачены зря",0
"Разочарован покупкой, деньги потрачены зря",0
"Спасибо разработчикам, стало намного удобнее",1
Невозможно нормально пользоваться сервисом,0
"Прекрасный продукт, рекомендую всем",1
"Сервис радует, всё быстро и удобно",1
Очень неудобное приложение,0
"Разочарован покупкой, деньги потрачены зря",0
Качество просто замечательное,1
"Отличное обновление, стало намного лучше",1
"Сервис радует, всё быстро и удобно",1
"Ужасный сервис, ничего не работает",0
"Сервис радует, всё быстро и удобно",1
"Прекрасный продукт, рекомендую всем",1
"Не могу войти в приложение, ошибка",0
Качество просто замечательное,1
"Отличный сервис, всё работает прекрасно",1
"Сервис работает плохо, исправьте проблему",0
Очень доволен покупкой и сервисом,1
Очень хороший опыт использования,1
"Отличный сервис, всё работает прекрасно",1
Мне очень понравилось приложение,1
Очень неудобное приложение,0
"Отличное обновление, стало намного лучше",1
"Не могу войти в приложение, ошибка",0
Очень неудобное приложение,0
"Очень плохое качество, я разочарован",0
Невозможно нормально пользоваться сервисом,0
"Сервис работает плохо, исправьте проблему",0
Поддержка не отвечает уже долгое время,0
"Отличное обновление, стало намного лучше",1
"Отличный сервис, всё работает прекрасно",1
"Плохое обновление, стало только хуже",0
Поддержка помогла решить проблему,1
"Отличный сервис, всё работает прекрасно",1
"Ужасный сервис, ничего не работает",0
Мне очень понравилось приложение,1
Очень доволен покупкой и сервисом,1
Очень хороший опыт использования,1
"Плохое обновление, стало только хуже",0
"Очень плохое качество, я разочарован",0
"Сервис работает плохо, исправьте проблему",0
Поддержка не отвечает уже долгое время,0
"Сервис радует, всё быстро и удобно",1
Невозможно нормально пользоваться сервисом,0
Невозможно нормально пользоваться сервисом,0
"Сервис работает плохо, исправьте проблему",0
Поддержка не отвечает уже долгое время,0
Очень доволен покупкой и сервисом,1
"Отличное обновление, стало намного лучше",1
Очень хороший опыт использования,1
Мне очень понравилось приложение,1
"Отличный сервис, всё работает прекрасно",1
Поддержка помогла решить проблему,1
Очень доволен покупкой и сервисом,1
"Разочарован покупкой, деньги потрачены зря",0
"Прекрасный продукт, рекомендую всем",1
Поддержка помогла решить проблему,1
Мне очень понравилось приложение,1
"Спасибо разработчикам, стало намного удобнее",1
"Ужасный сервис, ничего не работает",0
Качество просто замечательное,1
"Прекрасный продукт, рекомендую всем",1
"Прекрасный продукт, рекомендую всем",1
"Очень плохое качество, я разочарован",0
"Сервис радует, всё быстро и удобно",1
"Спасибо разработчикам, стало намного удобнее",1
"Сервис работает плохо, исправьте проблему",0
Качество просто замечательное,1
"Очень плохое качество, я разочарован",0
Очень доволен покупкой и сервисом,1
Поддержка не отвечает уже долгое время,0
Очень неудобное приложение,0
Поддержка не отвечает уже долгое время,0
"Отличный сервис, всё работает прекрасно",1
"Отличный сервис, всё работает прекрасно",1
Очень хороший опыт использования,1
"Прекрасный продукт, рекомендую всем",1
"Очень плохое качество, я разочарован",0
"Ужасный сервис, ничего не работает",0
"Прекрасный продукт, рекомендую всем",1
Очень неудобное приложение,0
Мне очень понравилось приложение,1
"Очень плохое качество, я разочарован",0
"Отличный сервис, всё работает прекрасно",1
Очень хороший опыт использования,1
"Ужасный сервис, ничего не работает",0
Качество просто замечательное,1
Очень хороший опыт использования,1
"Плохое обновление, стало только хуже",0
"Спасибо разработчикам, стало намного удобнее",1
Очень доволен покупкой и сервисом,1
Очень хороший опыт использования,1
"Худшее приложение, удаляю",0
Качество просто замечательное,1
Очень неудобное приложение,0
"Сервис работает плохо, исправьте проблему",0
Очень неудобное приложение,0
Качество просто замечательное,1
Поддержка не отвечает уже долгое время,0
"Сервис радует, всё быстро и удобно",1
Невозможно нормально пользоваться сервисом,0
"Ужасный сервис, ничего не работает",0
Поддержка не отвечает уже долгое время,0
"Ужасный сервис, ничего не работает",0
"Отличное обновление, стало намного лучше",1
"Прекрасный продукт, рекомендую всем",1
Очень доволен покупкой и сервисом,1
Очень хороший опыт использования,1
Поддержка помогла решить проблему,1
